ID	Place	Group	Originals	SimpleIPA
07.0.174	Kankaanpää	Finnic	'ɑ͟uriŋko	ɑu r i ŋ k o
07.0.175	Lavia	Finnic	p'æ͟ivæ	p æi v æ
07.0.175	Lavia	Finnic	'ɑ͟uriŋko	ɑu r i ŋ k o
07.0.177	Mouhijärvi	Finnic	p'æ͟ivæ	p æi v æ
07.0.177	Mouhijärvi	Finnic	'ɑ͟uriŋko	ɑu r i ŋ k o
07.0.178	Tyrvää	Finnic	'ɑ͟uriŋko	ɑu r i ŋ k o
07.0.178	Tyrvää	Finnic	p'æ͟ivæ	p æi v æ
07.0.179	Ikaalinen	Finnic	'ɑ͟uriŋko	ɑu r i ŋ k o
07.0.179	Ikaalinen	Finnic	p'æ͟ivæ	p æi v æ
07.0.181	Lempäälä	Finnic	p'æ͟ivæ	p æi v æ
07.0.182	Teisko	Finnic	'ɑ͟uriŋko	ɑu r i ŋ k o
07.0.183	Kangasala	Finnic	'ɑ͟uriŋko	ɑu r i ŋ k o
07.0.183	Kangasala	Finnic	p'æ͟ivænen	p æi v æ n e n
07.0.183	Kangasala	Finnic	p'æ͟ivæ	p æi v æ
07.0.184	Sääksmäki	Finnic	p'æ͟ivæ	p æi v æ
07.0.185	Luopioinen	Finnic	p'æ͟ivæ	p æi v æ
07.0.185	Luopioinen	Finnic	'ɑ͟uriŋko	ɑu r i ŋ k o
07.0.186	Längelmäki	Finnic	p'æ͟ivæ	p æi v æ
07.0.186	Längelmäki	Finnic	'ɑ͟uriŋko	ɑu r i ŋ k o
07.0.187	Lammi	Finnic	p'æ͟ivæ	p æi v æ
07.0.187	Lammi	Finnic	p'æ͟ivænen	p æi v æ n e n
07.0.187	Lammi	Finnic	'ɑ͟uriŋko	ɑu r i ŋ k o
07.0.188	Padasjoki	Finnic	p'æ͟ivæ	p æi v æ
07.0.189	Asikkala	Finnic	p'æ͟ivæ	p æi v æ
07.0.189	Asikkala	Finnic	'ɑ͟uriŋko	ɑu r i ŋ k o
07.0.190	Sysmä	Finnic	p'æ͟ivæ	p æi v æ
07.0.191	Joutsa	Finnic	'ɑ͟uriŋko	ɑu r i ŋ k o
07.0.193	Valkeala	Finnic	p'æ͟ivæ	p æi v æ
07.0.193	Valkeala	Finnic	'ɑ͟uriŋko	ɑu r i ŋ k o
07.0.194	Mikkeli	Finnic	p'æ͟ivæ	p æi v æ
07.0.195	Ristiina	Finnic	p'æ͟ivæ	p æi v æ
07.0.195	Ristiina	Finnic	'ɑ͟uriŋko	ɑu r i ŋ k o
07.0.196	Lemi	Finnic	p'æ͟ivæ	p æi v æ
07.0.196	Lemi	Finnic	'ɑ͟uriŋko	ɑu r i ŋ k o
07.0.197	Puumala	Finnic	p'æ͟ivæ	p æi v æ
07.0.198	Ruokolahti	Finnic	p'æ͟ivæ	p æi v æ
07.0.199	Sääminki	Finnic	'ɑ͟uriŋko	ɑu r i ŋ k o
07.0.199	Sääminki	Finnic	p'æ͟ivæ	p æi v æ
07.0.200	Parikkala	Finnic	p'æ͟ivæ	p æi v æ
07.0.200	Parikkala	Finnic	'ɑ͟uriŋko	ɑu r i ŋ k o
07.0.201	Kalanti	Finnic	'ɑ͟uriŋko	ɑu r i ŋ k o
07.0.201	Kalanti	Finnic	p'æ͟ivæ	p æi v æ
07.0.202	Kustavi	Finnic	'ɑ͟uriŋko	ɑu r i ŋ k o
07.0.202	Kustavi	Finnic	p'æ͟ivæ	p æi v æ
07.0.205	Mynämäki	Finnic	p'æ͟ivæ	p æi v æ
07.0.205	Mynämäki	Finnic	'ɑ͟uriŋko	ɑu r i ŋ k o
07.0.207	Yläne	Finnic	'ɑ͟uriŋko	ɑu r i ŋ k o
07.0.209	Lieto	Finnic	p'æ͟ivæ	p æi v æ
07.0.212	Loimaa	Finnic	'ɑ͟uriŋko	ɑu r i ŋ k o
07.0.212	Loimaa	Finnic	p'æ͟ivæ	p æi v æ
07.0.213	Pertteli	Finnic	'ɑ͟uriŋko	ɑu r i ŋ k o
